notebook,title,kind,status,output,error
מכונית טסלה,ביטוח פורסטר 2026,attachment_only_single,success,evernote-export/מכונית טסלה/ביטוח פורסטר 2026.pdf,
מכונית טסלה,טסלה - חשבונית שמאי - צחי מרון,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה - חשבונית שמאי - צחי מרון.jpg,
מכונית טסלה,"טסלה 4 צמיגים 2024-11 55,000 ק״מ",attachment_only_single,success,"evernote-export/מכונית טסלה/טסלה 4 צמיגים 2024-11 55,000 ק״מ.jpg",
מכונית טסלה,טסלה ביטוח חובה,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח חובה.pdf,
מכונית טסלה,טסלה ביטוח חובה 2022-23,attachment_only_multi,success,evernote-export/מכונית טסלה/טסלה ביטוח חובה 2022-23_0.docx,
מכונית טסלה,טסלה ביטוח חובה 2023-24,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח חובה 2023-24.pdf,
מכונית טסלה,טסלה ביטוח חובה 2024-25,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח חובה 2024-25.pdf,
מכונית טסלה,טסלה ביטוח חובה 2025-26,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח חובה 2025-26.pdf,
מכונית טסלה,טסלה ביטוח מקיף,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח מקיף.pdf,
מכונית טסלה,טסלה ביטוח מקיף 2022-23,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח מקיף 2022-23.pdf,
מכונית טסלה,טסלה ביטוח מקיף 2024-25,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח מקיף 2024-25.pdf,
מכונית טסלה,טסלה ביטוח מקיף 2025-26,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה ביטוח מקיף 2025-26.pdf,
מכונית טסלה,טסלה גלגל ספייר,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה גלגל ספייר.pdf,
מכונית טסלה,טסלה צמיג בודד 2025-03,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה צמיג בודד 2025-03.pdf,
מכונית טסלה,טסלה רשיון רכב 2025-6,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה רשיון רכב 2025-6.pdf,
מכונית טסלה,טסלה תיקון תאונה - קבלה,attachment_only_single,success,evernote-export/מכונית טסלה/טסלה תיקון תאונה - קבלה.jpg,
מכונית טסלה,צמיגים מישלין טסלה 2022-07,attachment_only_single,success,evernote-export/מכונית טסלה/צמיגים מישלין טסלה 2022-07.jpg,
מכונית טסלה,רשיון רכב טסלה 2021,attachment_only_single,success,evernote-export/מכונית טסלה/רשיון רכב טסלה 2021.jpg,
מכונית טסלה,רשיון רכב טסלה 2022-23,attachment_only_single,success,evernote-export/מכונית טסלה/רשיון רכב טסלה 2022-23.pdf,
מכונית טסלה,רשיון רכב טסלה 2023-24,attachment_only_single,success,evernote-export/מכונית טסלה/רשיון רכב טסלה 2023-24.pdf,
מכונית טסלה,רשיון רכב טסלה 2024-5,attachment_only_single,success,evernote-export/מכונית טסלה/רשיון רכב טסלה 2024-5.pdf,
